"GridSquares","6M","10M","12M","15M","17M","20M","30M","40M","80M","160M","","","","","","","","",""
"EN07","C","","","","","","","","","","","","","C","W","","","C","W"
"EN08","C","","","","","","","","","","","","","C","W","","","C","W"
"EN10","C","C","","","","C","","C","C","C","","","","C","W","","","C","W"
"EN11","C","","","C","","C","","","C","","","","","C","W","","","C","W"
"EN12","C","C","","","","C","","C","C","","","","","C","W","","","C","W"
"EN13","C","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"EN14","C","","","C","","C","","C","C","","","","","C","W","","","C","W"
"EN15","C","","","","","","","","","","","","","C","W","","","C","W"
"EN16","C","","","","","C","","","","","","","","C","W","","","C","W"
"EN17","C","C","","","","C","","C","C","","","","","C","W","","","C","W"
"EN18","C","","","","","C","","C","","","","","","C","W","","","C","W"
"EN19","C","C","","","","C","","C","","","","","","C","W","","","C","W"
"EN20","C","","","","","","","","","","","","","C","W","","","C","W"
"EN21","C","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"EN22","C","","","","","","","","","","","","","C","W","","","C","W"
"EN23","C","C","","","","C","","","C","","","","","C","W","","","C","W"
"EN24","C","","","","","","","","","","","","","C","W","","","C","W"
"EN25","C","","","C","","C","","C","C","","","","","C","W","","","C","W"
"EN26","C","","","","","","","","","","","","","C","W","","","C","W"
"EN27","C","","","","","C","","C","","C","","","","C","W","","","C","W"
"EN28","C","","","","","","","","","","","","","C","W","","","C","W"
"EN29","C","","","","","","","","","","","","","C","W","","","C","W"
"EN30","C","","","","","","","","","C","","","","C","W","","","C","W"
"EN31","C","C","","","","C","C","C","C","C","","","","C","W","","","C","W"
"EN32","C","C","","","C","C","","C","C","C","","","","C","W","","","C","W"
"EN33","C","C","","","","C","","C","C","C","","","","C","W","","","C","W"
"EN34","C","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"EN35","C","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"EN36","C","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"EN37","C","","","","","C","","","C","C","","","","C","W","","","C","W"
"EN38","C","","","","","","","","","","","","","C","W","","","C","W"
"EN40","C","","","","","","","C","C","","","","","C","W","","","C","W"
"EN41","C","C","","","","C","","C","C","","","","","C","W","","","C","W"
"EN42","C","","","","","C","","C","C","C","","","","C","W","","","C","W"
"EN43","C","","","","","","","","C","","","","","C","W","","","C","W"
"EN44","C","C","","","","C","","C","C","C","","","","C","W","","","C","W"
"EN45","C","","","","","C","","","C","C","","","","C","W","","","C","W"
"EN46","C","","","","","C","","C","C","C","","","","C","W","","","C","W"
"EN47","C","","","","","","","","","","","","","C","W","","","C","W"
"EN50","C","","","","","C","","C","C","C","","","","C","W","","","C","W"
"EN51","C","C","","","","C","","C","C","C","","","","C","W","","","C","W"
"EN52","C","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"EN53","C","C","","","","C","","C","C","C","","","","C","W","","","C","W"
"EN54","C","","","","","C","","C","C","C","","","","C","W","","","C","W"
"EN55","C","C","","C","","C","","C","C","","","","","C","W","","","C","W"
"EN56","C","","","","","","","","","W","","","","C","W","","","C","W"
"EN58","C","","","","","C","","C","C","C","","","","C","W","","","C","W"
"EN60","C","","","C","","C","","C","C","C","","","","C","W","","","C","W"
"EN61","C","C","","","","C","W","C","C","C","","","","C","W","","","C","W"
"EN62","C","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"EN63","C","","","","","C","","C","C","","","","","C","W","","","C","W"
"EN64","C","C","","","","","","","","C","","","","C","W","","","C","W"
"EN65","C","","","","","C","","C","C","C","","","","C","W","","","C","W"
"EN66","C","","","","","","","","","","","","","C","W","","","C","W"
"EN67","C","","","","","","","","","","","","","C","W","","","C","W"
"EN70","C","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"EN71","C","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"EN72","C","","","","","C","","C","C","C","","","","C","W","","","C","W"
"EN73","C","","","","","C","","C","","","","","","C","W","","","C","W"
"EN74","C","C","","","","C","","C","","","","","","C","W","","","C","W"
"EN75","C","","","","","","","","","","","","","C","W","","","C","W"
"EN76","W","","","","","","","","","","","","","","W","","","","W"
"EN77","W","","","","","","","","","","","","","","W","","","","W"
"EN79","C","","","","","","","","","","","","","C","W","","","C","W"
"EN80","C","C","","","","C","","C","C","C","","","","C","W","","","C","W"
"EN81","C","C","","","","C","","C","C","C","","","","C","W","","","C","W"
"EN82","C","C","","C","","C","C","C","C","C","","","","C","W","","","C","W"
"EN83","C","","","","","C","","C","C","C","","","","C","W","","","C","W"
"EN84","C","C","","","","C","","C","","","","","","C","W","","","C","W"
"EN85","C","","","","","","","","","","","","","C","W","","","C","W"
"EN86","C","","","","","","","","","","","","","C","W","","","C","W"
"EN90","C","","","","","C","","C","C","C","","","","C","W","","","C","W"
"EN91","C","C","","C","","C","C","C","C","C","","","","C","W","","","C","W"
"EN92","C","","","C","","","W","C","","W","","","","C","W","","","C","W"
"EN93","C","","","","","C","","C","C","C","","","","C","W","","","C","W"
"EN94","C","","","","","","","","","","","","","C","W","","","C","W"
"EO30","C","","","","","","","","","","","","","C","W","","","C","W"
"EO40","C","","","","","","","","","","","","","C","W","","","C","W"
"EP29","C","","","","","","","","","","","","","C","W","","","C","W"
"FD55","","","","","","C","","C","","","","","","C","W","","","C","W"
"FE48","","C","","C","","","","","","","","","","C","W","","","C","W"
"FF44","","C","","","","","","","","","","","","C","W","","","C","W"
"FF45","","","","","","C","","","","","","","","C","W","","","C","W"
"FF46","W","C","","C","","C","","C","","","","","","C","W","","","C","W"
"FF47","","C","","","","","","","","","","","","C","W","","","C","W"
"FF57","","","","C","","","","","","","","","","C","W","","","C","W"
"FF78","","C","","C","","C","","C","","","","","","C","W","","","C","W"
"FF97","C","C","","C","","C","","","","","","","","C","W","","","C","W"
"FF98","","C","","C","","","","","","","","","","C","W","","","C","W"
"FF99","C","","","","","C","","","","","","","","C","W","","","C","W"
"FG25","","","C","","","","","","","","","","","C","W","","","C","W"
"FG49","","C","","","","","","","","","","","","C","W","","","C","W"
"FG68","","","C","C","","","C","C","C","","","","","C","W","","","C","W"
"FG75","","","","","C","","C","","","","","","","C","W","","","C","W"
"FH17","","C","","","","C","","","","","","","","C","W","","","C","W"
"FH53","","","","C","","","","","","","","","","C","W","","","C","W"
"FH82","","","","C","","C","","","","","","","","C","W","","","C","W"
"FI09","","","","","C","C","C","C","C","","","","","C","W","","","C","W"
"FJ24","","C","","C","C","C","","","C","","","","","C","W","","","C","W"
"FJ35","","C","","","","","","","","","","","","C","W","","","C","W"
"FJ67","","","","C","","","","","","","","","","C","W","","","C","W"
"FJ69","","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"FJ92","","","","C","C","","","C","C","","","","","C","W","","","C","W"
"FK08","","","","","","","","","","C","","","","C","W","","","C","W"
"FK17","","C","","","","C","","","C","","","","","C","W","","","C","W"
"FK18","","","","C","","C","","C","","","","","","C","W","","","C","W"
"FK19","W","","","","","","","","","","","","","","W","","","","W"
"FK20","","C","","C","","C","","C","C","","","","","C","W","","","C","W"
"FK21","","C","","","","","C","","","","","","","C","W","","","C","W"
"FK29","","","","","","C","C","","C","C","","","","C","W","","","C","W"
"FK42","","C","","C","","C","C","","C","","","","","C","W","","","C","W"
"FK48","W","","","","","","","","","","","","","","W","","","","W"
"FK49","C","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"FK52","C","C","C","C","C","C","C","C","C","C","","","","C","W","","","C","W"
"FK58","W","","C","C","","","","","","","","","","C","W","","","C","W"
"FK60","C","C","C","C","","C","C","C","C","","","","","C","W","","","C","W"
"FK67","C","","","","","","","","","","","","","C","W","","","C","W"
"FK68","C","C","","C","C","C","","C","","","","","","C","W","","","C","W"
"FK70","","C","","","","C","","C","","","","","","C","W","","","C","W"
"FK77","C","C","C","C","C","C","C","C","C","C","","","","C","W","","","C","W"
"FK78","C","C","","C","C","C","C","C","","C","","","","C","W","","","C","W"
"FK85","","","","","C","C","","C","","","","","","C","W","","","C","W"
"FK86","","C","C","C","C","C","C","C","C","","","","","C","W","","","C","W"
"FK87","C","C","C","C","C","C","C","C","C","C","","","","C","W","","","C","W"
"FK88","","C","C","C","C","C","C","C","C","C","","","","C","W","","","C","W"
"FK90","C","","","","","C","","","","","","","","C","W","","","C","W"
"FK91","","","C","","C","C","C","C","C","","","","","C","W","","","C","W"
"FK92","C","C","C","C","C","C","C","C","C","C","","","","C","W","","","C","W"
"FK93","C","","","C","","C","","","","","","","","C","W","","","C","W"
"FK94","C","C","C","C","C","C","W","C","C","C","","","","C","W","","","C","W"
"FK95","W","C","C","C","","C","C","C","C","C","","","","C","W","","","C","W"
"FK96","C","C","","","","C","","C","C","","","","","C","W","","","C","W"
"FK97","C","C","C","C","C","C","","C","C","","","","","C","W","","","C","W"
"FK99","C","","","","","","","","","","","","","C","W","","","C","W"
"FL01","","","","","","C","","","","","","","","C","W","","","C","W"
"FL05","","","","","","","","","","C","","","","C","W","","","C","W"
"FL06","C","","C","C","","","","C","C","","","","","C","W","","","C","W"
"FL10","W","","","","","","","","","","","","","","W","","","","W"
"FL11","C","","","","","","","","","","","","","C","W","","","C","W"
"FL12","C","","","","","","","","","","","","","C","W","","","C","W"
"FL15","C","","","","C","C","","","C","C","","","","C","W","","","C","W"
"FL16","","","","","","","","C","C","","","","","C","W","","","C","W"
"FL20","C","C","","C","","","","","","C","","","","C","W","","","C","W"
"FL22","C","C","","C","","","","C","C","C","","","","C","W","","","C","W"
"FL31","C","C","","C","C","C","","C","C","C","","","","C","W","","","C","W"
"FL41","","C","","C","","C","","C","C","","","","","C","W","","","C","W"
"FM02","C","C","","C","","","","","","C","","","","C","W","","","C","W"
"FM03","C","C","","","","C","","","C","C","","","","C","W","","","C","W"
"FM04","W","","","C","","","","C","C","C","","","","C","W","","","C","W"
"FM05","C","","","C","","C","","C","C","C","","","","C","W","","","C","W"
"FM06","C","","","","","C","","C","C","C","","","","C","W","","","C","W"
"FM07","C","C","","","","C","","C","C","C","","","","C","W","","","C","W"
"FM08","C","","","","","C","","C","C","C","","","","C","W","","","C","W"
"FM09","C","","","","","C","","C","C","","","","","C","W","","","C","W"
"FM14","C","","","","","C","","","","","","","","C","W","","","C","W"
"FM15","C","","","","","","","C","C","C","","","","C","W","","","C","W"
"FM16","C","","","","","C","","C","C","C","","","","C","W","","","C","W"
"FM17","C","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"FM18","C","C","","","","C","C","C","C","C","","","","C","W","","","C","W"
"FM19","C","C","","C","","C","C","C","C","C","","","","C","W","","","C","W"
"FM20","","","","","","","","","C","","","","","C","W","","","C","W"
"FM25","W","","","","","","","C","C","","","","","C","W","","","C","W"
"FM26","C","","","","","C","","C","C","","","","","C","W","","","C","W"
"FM27","C","","","","","C","","","","","","","","C","W","","","C","W"
"FM28","C","","","C","","C","","C","C","C","","","","C","W","","","C","W"
"FM29","C","","C","C","","C","","C","C","C","","","","C","W","","","C","W"
"FM30","C","","","","","","","","","","","","","C","W","","","C","W"
"FM39","W","","","","","","","","","","","","","","W","","","","W"
"FM72","C","C","","","","C","","C","C","","","","","C","W","","","C","W"
"FN00","C","","","","","C","","C","C","C","","","","C","W","","","C","W"
"FN01","C","","","","","","C","","","","","","","C","W","","","C","W"
"FN02","C","","","","","C","","C","C","C","","","","C","W","","","C","W"
"FN03","C","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"FN04","C","C","","","","C","","C","C","C","","","","C","W","","","C","W"
"FN05","C","","","","","","","C","","","","","","C","W","","","C","W"
"FN06","C","","","","","C","","C","C","","","","","C","W","","","C","W"
"FN07","C","","","","","","","","","","","","","C","W","","","C","W"
"FN08","C","","","","","","","","","","","","","C","W","","","C","W"
"FN10","C","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"FN11","C","","","","","","","C","","","","","","C","W","","","C","W"
"FN12","C","","","","","","","C","C","C","","","","C","W","","","C","W"
"FN13","C","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"FN14","C","","","C","","C","","C","C","C","","","","C","W","","","C","W"
"FN15","C","C","","","","C","","C","C","C","","","","C","W","","","C","W"
"FN18","C","","","","","","","","C","","","","","C","W","","","C","W"
"FN20","C","C","","C","","C","C","C","C","C","","","","C","W","","","C","W"
"FN21","C","","","C","","C","","C","C","C","","","","C","W","","","C","W"
"FN22","C","C","","","","C","","C","C","C","","","","C","W","","","C","W"
"FN23","C","","","","","","","C","C","C","","","","C","W","","","C","W"
"FN24","C","","","","","C","","C","C","","","","","C","W","","","C","W"
"FN25","C","","","C","","C","","C","C","C","","","","C","W","","","C","W"
"FN30","C","C","C","C","","C","C","C","C","C","","","","C","W","","","C","W"
"FN31","C","C","","C","C","C","C","C","C","C","","","","C","W","","","C","W"
"FN32","C","C","","","","C","","C","C","C","","","","C","W","","","C","W"
"FN33","C","","","C","","C","","C","C","C","","","","C","W","","","C","W"
"FN34","C","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"FN35","C","","","C","","C","","C","C","C","","","","C","W","","","C","W"
"FN36","W","","","","","","","","","","","","","","W","","","","W"
"FN37","C","","","","","","","","","","","","","C","W","","","C","W"
"FN41","C","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"FN42","C","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"FN43","C","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"FN44","C","C","","","","C","","C","C","","","","","C","W","","","C","W"
"FN45","C","","","","","","","","","","","","","C","W","","","C","W"
"FN46","C","","","","","","","","","","","","","C","W","","","C","W"
"FN47","C","","","","","","","","","","","","","C","W","","","C","W"
"FN48","C","","","","","","","","","","","","","C","W","","","C","W"
"FN51","C","","","","","","","","","","","","","C","W","","","C","W"
"FN53","C","","","","","C","","C","C","","","","","C","W","","","C","W"
"FN54","C","C","","C","C","C","","C","C","C","","","","C","W","","","C","W"
"FN55","C","","","","","","","","","C","","","","C","W","","","C","W"
"FN56","C","","","","","C","","","","","","","","C","W","","","C","W"
"FN57","C","","","","","","","","","","","","","C","W","","","C","W"
"FN63","C","","","","","","","","","","","","","C","W","","","C","W"
"FN64","C","","","","","C","","","","","","","","C","W","","","C","W"
"FN65","C","","","","","","","C","","","","","","C","W","","","C","W"
"FN66","C","","","","","","","","","","","","","C","W","","","C","W"
"FN73","C","","","","","C","","","C","","","","","C","W","","","C","W"
"FN74","C","","","","","C","","C","","","","","","C","W","","","C","W"
"FN75","C","C","","C","","C","","","C","","","","","C","W","","","C","W"
"FN76","C","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"FN84","","","","C","","C","","C","C","","","","","C","W","","","C","W"
"FN85","","C","","","","","","C","","","","","","C","W","","","C","W"
"FN86","","C","","C","","","","C","","C","","","","C","W","","","C","W"
"FN93","C","","","","","","","","","","","","","C","W","","","C","W"
"FN96","","C","","C","","C","","C","C","","","","","C","W","","","C","W"
"FN97","","","C","C","C","C","C","","","","","","","C","W","","","C","W"
"FO06","C","","","","","","","","","","","","","C","W","","","C","W"
"FO60","","","","C","","C","C","C","C","C","","","","C","W","","","C","W"
"FQ56","","","","","","C","","","","","","","","C","W","","","C","W"
"GC07","","C","C","C","C","","C","C","","","","","","C","W","","","C","W"
"GD18","","C","C","C","C","C","","","","","","","","C","W","","","C","W"
"GF02","","C","","C","","","","","","","","","","C","W","","","C","W"
"GF05","","C","","C","","C","","C","","","","","","C","W","","","C","W"
"GF15","","C","C","","","C","C","","","","","","","C","W","","","C","W"
"GF19","","C","C","","","","","","","","","","","C","W","","","C","W"
"GF25","","C","","","","","","","","","","","","C","W","","","C","W"
"GF27","","C","","C","","C","","C","","","","","","C","W","","","C","W"
"GF49","","C","","C","","","","C","","","","","","C","W","","","C","W"
"GG20","","","","C","","","","","","","","","","C","W","","","C","W"
"GG30","","C","","C","","","","C","","","","","","C","W","","","C","W"
"GG46","","","C","","","","","","","","","","","C","W","","","C","W"
"GG53","","C","","","","","","","","","","","","C","W","","","C","W"
"GG54","","C","","C","","C","","C","","","","","","C","W","","","C","W"
"GG58","","","","C","","C","","C","","","","","","C","W","","","C","W"
"GG66","","C","","C","","C","","C","C","","","","","C","W","","","C","W"
"GG67","","C","","","","","","","","","","","","C","W","","","C","W"
"GG87","","C","","C","","C","","","","","","","","C","W","","","C","W"
"GG99","","C","","C","","","","","","","","","","C","W","","","C","W"
"GH53","","","","C","","","","","","","","","","C","W","","","C","W"
"GH64","","","","","","C","","","","","","","","C","W","","","C","W"
"GH80","","","","C","","","","","","","","","","C","W","","","C","W"
"GI64","","","","","C","","","","","","","","","C","W","","","C","W"
"GJ01","","","","C","","","","","","","","","","C","W","","","C","W"
"GJ06","","C","","","C","C","","","","","","","","C","W","","","C","W"
"GJ25","","C","C","C","C","C","","C","","","","","","C","W","","","C","W"
"GJ34","","C","","","","","","","","","","","","C","W","","","C","W"
"GJ35","","C","","C","","C","C","C","C","C","","","","C","W","","","C","W"
"GK03","","C","C","C","C","C","C","C","C","C","","","","C","W","","","C","W"
"GK79","C","","","","","","","","","","","","","C","W","","","C","W"
"GM84","","","","","","C","","","","","","","","C","W","","","C","W"
"GN03","","C","C","","C","","","","","","","","","C","W","","","C","W"
"GN17","C","C","","C","C","C","","C","C","","","","","C","W","","","C","W"
"GN19","","","","C","","C","","","","","","","","C","W","","","C","W"
"GN29","","","","C","","","","C","","","","","","C","W","","","C","W"
"GN37","","","","C","","C","","C","C","","","","","C","W","","","C","W"
"GN38","","","","C","","","","","","","","","","C","W","","","C","W"
"GP47","","","","","","","","C","C","","","","","C","W","","","C","W"
"HI06","","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"HI22","","","","","","C","","C","","","","","","C","W","","","C","W"
"HI23","","","","C","","C","C","C","","","","","","C","W","","","C","W"
"HI36","","C","C","","C","","C","","","","","","","C","W","","","C","W"
"HJ50","","C","C","C","C","C","C","","C","C","","","","C","W","","","C","W"
"HK76","","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"HM58","","C","","","","C","C","","C","","","","","C","W","","","C","W"
"HM68","","","C","","","","","","","","","","","C","W","","","C","W"
"HM74","","","","","","","","C","","","","","","C","W","","","C","W"
"HM76","W","","","","","","","","","","","","","","W","","","","W"
"HM77","C","C","","C","","C","","","","","","","","C","W","","","C","W"
"HP84","","C","C","","C","","","","","","","","","C","W","","","C","W"
"HP85","","C","","C","","C","C","C","","","","","","C","W","","","C","W"
"HP94","","C","C","C","C","C","","C","","","","","","C","W","","","C","W"
"IF32","","","","C","","","","","","","","","","C","W","","","C","W"
"IH74","","C","C","","","","","","","","","","","C","W","","","C","W"
"II22","","C","C","C","C","C","C","C","C","","","","","C","W","","","C","W"
"IJ02","","","","","","","","","","W","","","","","W","","","","W"
"IJ38","","C","","C","","C","","","","","","","","C","W","","","C","W"
"IJ39","","C","","C","C","C","","C","C","","","","","C","W","","","C","W"
"IJ46","","","C","C","","C","","C","C","","","","","C","W","","","C","W"
"IK12","","","C","C","C","","C","","C","","","","","C","W","","","C","W"
"IK13","","C","C","C","C","C","C","","","","","","","C","W","","","C","W"
"IK14","","C","","C","","C","","C","C","","","","","C","W","","","C","W"
"IK21","","","","","","C","C","C","C","","","","","C","W","","","C","W"
"IK62","","","","C","C","","","","","","","","","C","W","","","C","W"
"IK92","","C","C","C","C","C","C","C","C","C","","","","C","W","","","C","W"
"IL17","C","","","","","","","","","","","","","C","W","","","C","W"
"IL18","C","C","","C","W","C","","C","","","","","","C","W","","","C","W"
"IL27","","","C","","C","","","","C","","","","","C","W","","","C","W"
"IL28","","C","","C","","C","","C","","","","","","C","W","","","C","W"
"IL46","","","","","","C","C","C","","","","","","C","W","","","C","W"
"IM12","","C","","C","C","C","C","C","C","C","","","","C","W","","","C","W"
"IM13","","","C","C","C","C","","C","C","","","","","C","W","","","C","W"
"IM51","","","","","","","C","","","","","","","C","W","","","C","W"
"IM57","C","","","","","","","","","","","","","C","W","","","C","W"
"IM58","","C","C","","","","C","","","","","","","C","W","","","C","W"
"IM63","","C","C","C","C","C","","C","C","","","","","C","W","","","C","W"
"IM64","","","","","C","","","","","","","","","C","W","","","C","W"
"IM67","C","C","C","C","","C","","C","","C","","","","C","W","","","C","W"
"IM68","","C","","","","C","","C","","","","","","C","W","","","C","W"
"IM75","","C","","C","","C","","C","","","","","","C","W","","","C","W"
"IM76","","","","C","","","","C","","","","","","C","W","","","C","W"
"IM77","","C","C","C","","C","","","","","","","","C","W","","","C","W"
"IM87","C","C","","C","","C","","C","C","","","","","C","W","","","C","W"
"IM98","C","C","","C","","C","","C","C","","","","","C","W","","","C","W"
"IM99","","C","","C","","C","","C","C","","","","","C","W","","","C","W"
"IN50","","C","C","C","","C","C","C","C","","","","","C","W","","","C","W"
"IN51","","","","","","C","","","","","","","","C","W","","","C","W"
"IN53","","C","","","","","","","C","","","","","C","W","","","C","W"
"IN63","","","","C","","C","","C","","","","","","C","W","","","C","W"
"IN70","","C","","C","","C","","C","C","","","","","C","W","","","C","W"
"IN73","","","","C","C","C","","C","C","","","","","C","W","","","C","W"
"IN78","C","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"IN80","","C","","C","","C","","C","C","","","","","C","W","","","C","W"
"IN82","","","","","","C","","","","","","","","C","W","","","C","W"
"IN83","","","","C","","","","C","C","","","","","C","W","","","C","W"
"IN87","","C","","","","","","","","","","","","C","W","","","C","W"
"IN88","","C","","","","C","","","","","","","","C","W","","","C","W"
"IN89","","C","C","C","","C","","C","C","","","","","C","W","","","C","W"
"IN92","","C","","C","","C","","","","","","","","C","W","","","C","W"
"IN93","","","","C","","C","","","","","","","","C","W","","","C","W"
"IN94","","","","C","","C","","C","","","","","","C","W","","","C","W"
"IN95","","","","C","","C","","C","","","","","","C","W","","","C","W"
"IN97","","","","","","","","","C","","","","","C","W","","","C","W"
"IN99","","","","C","","C","","","","","","","","C","W","","","C","W"
"IO42","","","","","","","","","","C","","","","C","W","","","C","W"
"IO51","","C","C","","","C","","C","C","C","","","","C","W","","","C","W"
"IO52","","","","C","","C","","","","","","","","C","W","","","C","W"
"IO53","","C","","C","C","C","C","C","C","C","","","","C","W","","","C","W"
"IO62","","C","","C","","C","","C","","","","","","C","W","","","C","W"
"IO63","","C","C","C","","C","","","","","","","","C","W","","","C","W"
"IO64","","C","C","C","C","C","","C","C","","","","","C","W","","","C","W"
"IO68","","","","","C","","","","","","","","","C","W","","","C","W"
"IO70","C","","","","","","","","","","","","","C","W","","","C","W"
"IO71","","","","","","","","","C","","","","","C","W","","","C","W"
"IO72","","C","C","C","","C","","","","C","","","","C","W","","","C","W"
"IO74","","C","C","C","C","C","C","C","C","C","","","","C","W","","","C","W"
"IO75","","C","","C","","W","","","","","","","","C","W","","","C","W"
"IO80","C","","","C","","","","","","","","","","C","W","","","C","W"
"IO81","","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"IO82","","","","","W","","","","","","","","","","W","","","","W"
"IO83","","C","C","","","","","W","","","","","","C","W","","","C","W"
"IO86","C","C","","C","","C","","","C","","","","","C","W","","","C","W"
"IO87","","C","","C","","C","","","C","","","","","C","W","","","C","W"
"IO88","","C","","","","","","C","","C","","","","C","W","","","C","W"
"IO89","","","","C","","C","","C","C","","","","","C","W","","","C","W"
"IO90","","C","","C","C","","","","","","","","","C","W","","","C","W"
"IO91","C","C","","C","","C","","C","","W","","","","C","W","","","C","W"
"IO92","","C","","","","C","","C","","","","","","C","W","","","C","W"
"IO93","","","","C","","C","","","","","","","","C","W","","","C","W"
"IO94","","","","C","","C","","","","","","","","C","W","","","C","W"
"IP61","","","C","","","","","","","","","","","C","W","","","C","W"
"IP62","","C","C","C","","","C","","","","","","","C","W","","","C","W"
"IP90","","","","","C","","C","","","","","","","C","W","","","C","W"
"JB59","","","","","","","C","C","","","","","","C","W","","","C","W"
"JG78","","","C","C","","","","","","","","","","C","W","","","C","W"
"JG87","","C","","C","","","C","C","C","","","","","C","W","","","C","W"
"JG88","","","","","","","","","C","C","","","","C","W","","","C","W"
"JI75","","","","C","","","","","","","","","","C","W","","","C","W"
"JJ06","","","","C","C","C","","","","","","","","C","W","","","C","W"
"JJ30","","C","","C","C","C","C","C","","","","","","C","W","","","C","W"
"JJ38","","","","C","C","C","C","C","","","","","","C","W","","","C","W"
"JJ42","","","C","C","C","","C","C","C","","","","","C","W","","","C","W"
"JK72","","","","","C","","","","","","","","","C","W","","","C","W"
"JM08","","","","C","","C","","C","C","","","","","C","W","","","C","W"
"JM09","C","","","","","","","","","","","","","C","W","","","C","W"
"JM19","C","C","C","","C","C","C","","C","","","","","C","W","","","C","W"
"JM29","","C","","C","","","","","","","","","","C","W","","","C","W"
"JM49","","C","C","C","C","W","C","","C","","","","","C","W","","","C","W"
"JM54","","","","","C","","","C","C","C","","","","C","W","","","C","W"
"JM56","","","","C","","","","","","","","","","C","W","","","C","W"
"JM62","","","","","","C","C","C","C","","","","","C","W","","","C","W"
"JM67","","C","C","C","","C","C","C","","","","","","C","W","","","C","W"
"JM75","C","C","C","","C","C","","C","C","","","","","C","W","","","C","W"
"JM76","","","","","","","","C","","","","","","C","W","","","C","W"
"JN00","","","","","","C","","","","","","","","C","W","","","C","W"
"JN01","C","C","","C","","C","","C","","","","","","C","W","","","C","W"
"JN02","","C","","C","","C","","","","","","","","C","W","","","C","W"
"JN03","","","","C","W","C","","C","","","","","","C","W","","","C","W"
"JN04","","C","","C","","C","","","C","","","","","C","W","","","C","W"
"JN05","","C","","C","","C","","","C","","","","","C","W","","","C","W"
